,College,Christs College Cambridge,Churchill College Cambridge,Clare College Cambridge,Clare Hall Cambridge,Corpus Christi College Cambridge,Darwin College Cambridge,Downing College Cambridge,Emmanuel College Cambridge,Fitzwilliam College Cambridge,Girton College Cambridge,Gonville and Caius College Cambridge,Homerton College Cambridge,Hughes Hall Cambridge,Jesus College Cambridge,Kings College Cambridge,Lucy Cavendish College Cambridge,Magdalene College Cambridge,Murray Edwards College Cambridge,Newnham College Cambridge,Pembroke College Cambridge,Peterhouse Cambridge,Queens College Cambridge,Robinson College Cambridge,Selwyn College Cambridge,Sidney Sussex College Cambridge,St Catharines College Cambridge,St Edmunds College Cambridge,St Johns College Cambridge,Trinity College Great Court Cambridge,Trinity Hall Cambridge,Wolfson College Cambridge
0,Christs College Cambridge,0,2290,754,1699,896,1230,1218,391,2506,4197,531,2733,1225,793,891,1786,1248,1847,2082,819,1177,1072,1801,1816,497,900,1933,1722,694,760,2711
1,Churchill College Cambridge,1938,0,1844,1230,2247,2025,2845,2018,217,2914,1832,4360,2852,1883,1981,758,1090,1665,1910,2282,2534,1972,1331,1495,1658,2252,1924,1389,1741,1603,2474
2,Clare College Cambridge,864,1771,0,1181,555,1175,1770,943,1988,3912,223,3285,1777,1099,253,1267,963,1562,1862,689,1047,1121,1283,1446,874,550,1723,1203,226,241,2425
3,Clare Hall Cambridge,1740,1230,1181,0,1584,1362,2349,1819,1446,4144,1169,4025,2654,1976,1318,1273,1605,2894,864,1619,1871,1308,279,449,1750,1588,1729,1366,1078,940,1428
4,Corpus Christi College Cambridge,949,2090,555,1500,0,433,864,534,2307,3997,331,2869,1368,1185,691,1586,1048,1648,1219,134,492,276,1602,1019,960,4,1734,1522,495,561,2027
5,Darwin College Cambridge,1382,1965,988,1362,433,0,1197,868,2182,4879,764,3203,1702,1618,1124,1461,1481,2081,997,468,720,157,1464,797,1393,437,1917,1397,1072,934,1681
6,Downing College Cambridge,1218,3032,1496,2336,942,1276,0,856,3249,4939,1273,2595,1690,2127,1633,2528,1990,2589,2128,864,1223,1118,2528,1862,1901,946,2675,2464,1436,1502,2757
7,Emmanuel College Cambridge,391,2624,1088,1928,534,868,856,0,2841,4531,865,2370,863,1153,1225,2120,1582,2181,1720,457,815,710,2120,1454,1168,538,2267,2056,1028,1094,2349
8,Fitzwilliam College Cambridge,2155,217,2061,1446,2464,2242,3062,2235,0,2733,2049,4576,3069,2100,2198,975,1307,1484,2127,2499,2751,2188,1548,1712,1875,2468,1743,1605,1958,1820,2691
9,Girton College Cambridge,3948,2762,4095,3992,4154,4587,4855,4027,2581,0,3872,6369,4861,3893,4232,2996,3099,2567,4673,4288,4646,4429,4250,4257,3667,4150,2826,3899,4036,4101,5236
